country,super_region
Sudan,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Eswatini,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea Bissau,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Sao Tome and Principe,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Togo,Sub-Saharan Africa

